Date,Month,Year,Numbers,Stars,Winners,Jackpot
2005-12-30,Décembre 2005,2005,8 16 19 43 45,1 4,0,75000000
2005-12-23,Décembre 2005,2005,15 31 36 37 42,1 7,0,64000000
2005-12-16,Décembre 2005,2005,2 3 15 18 32,6 7,0,55000000
2005-12-09,Décembre 2005,2005,11 18 35 38 42,1 5,0,44000000
2005-12-02,Décembre 2005,2005,1 9 20 23 30,4 7,0,34000000
2005-11-25,Novembre 2005,2005,1 6 27 39 47,1 6,0,24000000
2005-11-18,Novembre 2005,2005,17 18 25 34 48,2 3,0,15000000
2005-11-11,Novembre 2005,2005,15 16 36 41 42,3 5,1,45117030
2005-11-04,Novembre 2005,2005,26 36 37 38 42,2 6,0,34000000
2005-10-28,Octobre 2005,2005,14 36 44 47 50,3 5,0,24000000
2005-10-21,Octobre 2005,2005,1 14 19 29 33,1 8,0,15000000
2005-10-14,Octobre 2005,2005,10 11 19 20 23,1 6,1,15000000
2005-10-07,Octobre 2005,2005,2 13 21 26 44,3 9,1,15000000
2005-09-30,Septembre 2005,2005,6 11 47 48 50,1 6,1,25066380
2005-09-23,Septembre 2005,2005,1 26 31 34 47,4 9,0,15000000
2005-09-16,Septembre 2005,2005,12 13 19 21 38,3 9,1,75888514
2005-09-09,Septembre 2005,2005,8 12 19 31 50,6 7,0,66000000
2005-09-02,Septembre 2005,2005,3 4 14 43 50,3 6,0,57000000
2005-08-26,Août 2005,2005,9 29 35 40 41,1 6,0,45000000
2005-08-19,Août 2005,2005,11 24 29 31 41,1 3,0,35000000
2005-08-12,Août 2005,2005,15 23 30 37 40,7 9,0,24000000
2005-08-05,Août 2005,2005,2 11 21 22 30,4 6,0,15000000
2005-07-29,Juillet 2005,2005,3 19 26 49 50,4 5,1,115436126
2005-07-22,Juillet 2005,2005,3 14 41 48 49,1 4,0,96000000
2005-07-15,Juillet 2005,2005,1 11 12 23 42,3 6,0,81000000
2005-07-08,Juillet 2005,2005,35 36 42 46 49,2 8,0,69000000
2005-07-01,Juillet 2005,2005,4 5 23 25 28,3 4,0,60000000
2005-06-24,Juin 2005,2005,6 8 14 15 45,7 8,0,52000000
2005-06-17,Juin 2005,2005,4 8 10 18 21,1 7,0,42000000
2005-06-10,Juin 2005,2005,6 7 32 37 47,1 7,0,32000000
2005-06-03,Juin 2005,2005,3 8 11 17 50,1 5,0,23000000
2005-05-27,Mai 2005,2005,2 24 31 48 50,4 9,0,15000000
2005-05-20,Mai 2005,2005,6 7 13 28 47,5 8,1,43020745
2005-05-13,Mai 2005,2005,12 17 31 32 40,2 9,0,32000000
2005-05-06,Mai 2005,2005,7 12 21 26 44,6 8,0,23000000
2005-04-29,Avril 2005,2005,3 9 35 39 42,1 8,0,15000000
2005-04-22,Avril 2005,2005,3 10 13 24 47,5 9,1,23749558
2005-04-15,Avril 2005,2005,6 28 31 38 42,3 9,0,15000000
2005-04-08,Avril 2005,2005,7 11 25 31 50,1 3,1,64040749
2005-04-01,Avril 2005,2005,25 26 41 44 47,3 7,0,51000000
2005-03-25,Mars 2005,2005,4 29 33 37 38,6 9,0,44000000
2005-03-18,Mars 2005,2005,6 23 39 43 48,5 7,0,35000000
2005-03-11,Mars 2005,2005,8 12 23 40 43,1 4,0,26000000
2005-03-04,Mars 2005,2005,12 24 32 37 39,7 9,0,17000000
2005-02-25,Février 2005,2005,3 27 30 43 44,4 8,0,10000000
2005-02-18,Février 2005,2005,20 21 26 32 46,8 9,1,10000000
2005-02-11,Février 2005,2005,11 13 25 32 50,4 7,1,34776948
2005-02-04,Février 2005,2005,1 8 11 30 40,7 8,0,25000000
2005-01-28,Janvier 2005,2005,7 21 26 43 45,5 7,0,17000000
2005-01-21,Janvier 2005,2005,10 12 14 24 26,5 8,0,10000000
2005-01-14,Janvier 2005,2005,6 11 14 19 29,1 3,1,26007362
2005-01-07,Janvier 2005,2005,3 23 27 47 50,2 3,0,0
